_key,_chname,_start,_Android点位,_iOS点位,_needserver,_degree,_page,_spmc,_spmd,_autosend,isbk,ctrl,title,pos,item_type,item_id,ju_id,pager,action,pager_pos,url,opt_string,seller_id,shop_id,brand_name,keyword,type,order_id,box_id,box_name,name,city,area,sort,distance,object_id,object_name,object_type,event_id,event_name,box_page_key,box_page_data_key,box_page_data_groupname,area_id,area_name,sort_type,sort_name,brand_id,item_name,ju_name,api_name,banner_type,query_type,message_id,message_type_id,message,total,time,version,tag,code,status,error
BTN,通用按钮,4.4,,,有,,{.*},Button,d[title],1,{.*},通用按钮点击-不跳转,{(.*)?},{(.*)?},{(.*)?},{(.*)?},{(.*)?},{(.*)?},{(.*)?},{(.*)?},{(.*)?},{(.*)?},{(.*)?},{(.*)?},{(.*)?},{(.*)?},{(.*)?},{(.*)?},{(.*)?},{(.*)?},{(.*)?},{(.*)?},{(.*)?},{(.*)?},{(.*)?},{(.*)?},{(.*)?},{(.*)?},{(.*)?},{(.*)?},{(.*)?},{(.*)?},{(.*)?},{(.*)?},{(.*)?},{(.*)?},{(.*)?},{(.*)?},{(.*)?},{(.*)?},{(.*)?},{(.*)?},{(.*)?},{(.*)?},{(.*)?},{(.*)?},{(.*)?},{(.*)?},{(.*)?},{(.*)?},{(.*)?},{(.*)?},{(.*)?}
BTN_JUMP,通用按钮－跳转,4.4,,,有,,{.*},Button-Jump,[title],,{.*},通用按钮点击-发生跳转,{(.*)?},{(.*)?},{(.*)?},{(.*)?},{(.*)?},{(.*)?},{(.*)?},{(.*)?},{(.*)?},{(.*)?},{(.*)?},{(.*)?},{(.*)?},{(.*)?},{(.*)?},{(.*)?},{(.*)?},{(.*)?},{(.*)?},{(.*)?},{(.*)?},{(.*)?},{(.*)?},{(.*)?},{(.*)?},{(.*)?},{(.*)?},{(.*)?},{(.*)?},{(.*)?},{(.*)?},{(.*)?},{(.*)?},{(.*)?},{(.*)?},{(.*)?},{(.*)?},{(.*)?},{(.*)?},{(.*)?},{(.*)?},{(.*)?},{(.*)?},{(.*)?},{(.*)?},{(.*)?},{(.*)?},{(.*)?},{(.*)?},{(.*)?},{(.*)?}
TABBAR,Tabbar,,,iOS 底部Tabbar,有,1,JuMain,Tabbar,d[_trackId],1,,[_trackName],,,,,,,{(doubleClick)?},,{.*},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLOAT_VIEW,浮层,,,,有,,JuJRT,Float,[title],,,浮层,{small|big|target},,,,,,{(close)?},,{.*},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLOAT_VIEW_LOAD,浮层曝光,,,,有,,JuJRT,Float-Load,d[title],1,,浮层-加载,{small|big|target|luaview},,,,,,,,{.*},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLOAT_VIEW_NOT_JUMP,非跳转浮层,,,,,,JuJRT,StaticFloat,d[title],1,,非跳转浮层,toTop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BACK,左上角返回,,,iOS 左上角返回,,,{.*},Back,,,1,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHARE,分享商品,,,iOS 分享组件,,,{.*},Share,d1,1,,分享,{分享|来往|微博|微信|朋友圈|二维码|复制|更多},,,,,,{(.*)?},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHARE_COUPON,分享优惠券,,,,,,{.*},ShareCoupon,d1,1,,分享优惠券,{分享|来往|微博|微信|朋友圈|二维码|复制|更多},,,,,,{(.*)?},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOXSYS,今日团运营位,,,iOS Boxsys组件,有,1,{.*},Boxsys,[box_id],,,BOXSYS_[type],,,,,,,,,{.*},,,,,,{.*},,{.*},{.*},,,,,,,,,,,,,,,,,,,,,,,,,,,,{(.*)?},,,,,
REFRESH,列表刷新,,,iOS 刷新组件,,,{.*},List-Refresh,d[pager_pos],1,,刷新,{.*},,,,,,refresh,{\d+},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BANNER,今日团轮播Banner,,,iOS Banner组件,有,1,JuJRT,Banner,[pos],,,Banner_[type],,{\d+},,,,,,,{.*},,,,,,{.*},,{(.*)?},{(.*)?},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JRT_BTN_TOPBAR_LEFT,今日团-左上角菜单,,,,,1,JuJRT,Topbar,Left,,,今日团快捷菜单左,扫一扫,,,,,,,,{.*},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JRT_BTN_TOPBAR_RIGHT,今日团-右上角菜单,,,,,1,JuJRT,Topbar,dRight,1,,今日团快捷菜单右,我的,,,,,,{click|scroll},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{(hasRedDot)?},
JRT_BTN_QUICK,今日团-下拉菜单,,,,,1,JuJRT,Quick,d1,1,,今日团下拉菜单,,,,,,,{show|hide},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JRT_BTN_QUICK_CATEGORY,今日团-快捷类目,,,,有,1,JuJRT,Quick-Category,d[pos],1,,今日团快捷类目,{.*},{\d+},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JRT_BTN_QUICK_LINK,今日团-快捷链接,,,,有,1,JuJRT,Quick-Link,[pos],,,今日团快捷链接,{(.*)?},{\d+},,,,,,,{.*},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JRT_BTN_QUICK_SEARCH,今日团-快捷搜索,,,,有,1,JuJRT,Quick-Search,1,,,今日团快捷搜索,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JRT_TAB,今日团类目,,,,,1,JuJRT,Category,d[pos],1,,今日团类目,{.*},{\d+},,,,,{click|scroll},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JRT_BTN_TODAY_NEWS,今日团-今日喜报,,,,有,1,JuJRT,TodayNews,1,,,今日团-今日喜报,,,,,,,,,{.*},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JRT_LIST,今日团列表点击,,,,有：bucket,1,JuJRT,List,Click-[pager_pos]-[pos],,,今日团列表,{.*},{\d+},{\d+},{(.*)?},{(.*)?},,,{\d+},{(.*)?},,,,,,,,,,,,,,,,,,,,,,,,,,,{(.*)?},,,,,,,,,,,,{(.*)?},,,
JRT_LIST_LOAD,今日团列表加载,,,,有：bucket,1,JuJRT,List-Load,d[pager_pos],1,,今日团列表-加载,{.*},,,,,{.*},,{\d+},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JRT_LIST_GOODS_PREVIEW,今日团列表商品图片预览,,,,有,1,JuJRT,List,dPreview-[pager_pos]-[pos],1,,今日团列表-预览,{.*},{\d+},{\d+},{(.*)?},{(.*)?},,{(toDetail)?},{\d+},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{(.*)?},,,
JRT_LIST_BRAND,今日团列表品牌点击,,,,有：bucket,1,JuJRT,List,ClickBrand-[pager_pos]-[pos],,,今日团品牌列表,{.*},{\d+},Brand,,,,,{\d+},,,,,{(.*)?},,,,,,,,,,,,,,,,,,,,,,,{(.*)?},,,,,,,,,,,,,,,
JRT_LIST_MORE,今日团列表-明日聚透,,,,,1,JuJRT,List-More,[pager_pos],,,今日团列表-更多,{.*},,,,,,{toJuTou|ClickToLoad},{\d+},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JRT_LIST_WHEEL_MODE,今日团列表-自动浏览模式,4.4.1,,,,,JuJRT,List-WheelMode,d[pager_pos],1,,今日团列表-自动浏览模式,{.*},,,,,,{click|longClick},{\d+},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{(.*)?},,,
JRT_LIST_BRAND_MORE,今日团列表-点击加载更多品牌,,,_MORE放在最后,有,1,JuJRT,List-MoreBrand,d[pager_pos],1,,今日团品牌列表-更多,{.*},,MoreBrand,,,,LoadMore,{\d+},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JRT_LIST_BRAND_LOAD,今日团列表-加载品牌列表,,,_LOAD放在最后,有：bucket,1,JuJRT,List-Load-Brand,d[pager_pos],1,,今日团品牌列表-加载,{.*},,,,,{.*},,{\d+},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JRT_BTN_REFRESH,今日团刷新,,,,,1,JuJRT,Refresh,d1,1,,今日团刷新,,,,,,,{(show|click)?},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{(.*)?},,,,,
