_key,_iOSkey,_chname,_备注,_needserver,_Degree,_spma,_spmb,_spmc,_spmd,title,url,item_id,ju_id
JuSplash,JUSplashViewController,聚划算-闪屏,,,,a240c,7662933,0,0,,,,
JuMain,MFSideMenuContainerViewController,聚划算-首页,为了让数据统一，JuMain也统一成JuJRT的SPM,,1,a240c,7662935,0,0,,,,
JuJRT,JHSHomeViewController,聚划算-今日团,,,1,a240c,7662935,0,0,,,,
JuScan,JUQRWrapperViewController,聚划算-扫码,,,1,a240c,7662936,0,0,,,,
JuSHT,JHSLocalWebViewController,聚划算-生活团,,,,a240c,7662937,0,0,,,,
JuSHTCityChoose,JUCityPickerViewController,聚划算-生活团城市选择,,,,a240c,7662938,0,0,,,,
JuSHTCategoryChoose,JHSLocalListViewController,聚划算-生活团类目选择,,,,a240c,7662939,0,0,,,,
JuPPT,JHSLuaViewController,聚划算-品牌团,业务已下线,,1,a240c,7662940,0,0,,,,
JuGWC,JHSCartViewController,聚划算-购物车,,,1,a240c,7662942,0,0,,,,
JuSearch,JUSearchDisplayController,聚划算-搜索,,,1,a240c,7662944,0,0,,,,
JuJT,JUTouViewController,聚划算-聚透,,,1,a240c,7662945,0,0,,,,
JuWD,JUMyProfileViewController,聚划算-我的,,,1,a240c,7662946,0,0,,,,
JuWDOrder,JHSOrderListViewController,聚划算-我的订单,,,1,a240c,7662947,0,0,,,,
JuWDOrderDetail,JHSOrderDetailViewController,聚划算-我的订单详情,,,1,a240c,7662948,0,0,,,,
JuWDBrowseHistory,JULocalItemListViewController,聚划算-浏览历史,,,1,a240c,7662949,0,0,,,,
JuCollection,JHSCollectionViewController,聚划算-聚收藏,,,1,a240c,7662950,0,0,,,,
JuWDMsgCategory,JHSMessageBoxViewController,聚划算-消息分类,,,1,a240c,7728260,0,0,,,,
JuWDMsgCenter,JHSMessageDetailListViewController,聚划算-消息中心,,,,a240c,7662952,0,0,,,,
JuWDAddressModify,TBNewAddressViewController,聚划算-修改地址,,,,a240c,7662953,0,0,,,,
JuWDAddressList,TBAddressManagerViewController,聚划算-地址列表,,,1,a240c,7662954,0,0,,,,
JuWDSetting,JUSettingViewController,聚划算-设置,,,,a240c,7662956,0,0,,,,
JuDetail,TBItemDetailViewController,聚划算-商品详情,,有：bucket,1,a240c,7662959,0,0,,,{.*},{.*}
JuDetailComment,TBTradeRateDetailViewController,聚划算-评价详情,,,,a240c,7662961,0,0,,,,
JuDetailShopList,TBItemDetailShopListViewController,聚划算-商家列表,,,,a240c,7662963,0,0,,,,
JuDetailShopRecommend,JUItemListBySellerViewController,聚划算-店铺推荐,,,1,a240c,7662964,0,0,,,,
JuDetailShopMap,TBItemDetailShopMapViewController,聚划算-商家地图,,,,a240c,7662967,0,0,,,,
JuPay,,聚划算-付款,浮层,,,a240c,7662965,0,0,,,,
JuWeiboShare,JUWeiboShareViewController,聚划算-微博分享,,,,a240c,7662966,0,0,,,,
JuOrderConfirm,JHSBuyViewController,聚划算-订单确认,,,1,a240c,7662968,0,0,,,,
JuH5,JUWebViewController,聚划算-h5,,有：bucket,,a240c,7662969,0,0,{.*},{.*},,
JuScanHistory,JUHuoyanHistoryViewController,聚划算-扫码历史,,,,a240c,7664853,0,0,,,,
JuSettingAbout,JUAboutViewController,聚划算-关于,,,,a240c,7662955,0,0,,,,
JuSettingGuide,,聚划算-新手引导,浮层,,,a240c,7662958,0,0,,,,
JuSettingHelpCenter,JUHelpCenterViewController,聚划算-帮助中心,,,,a240c,7664855,0,0,,,,
