_key,_iOSkey,_AndroidKey,_页面,_说明,_spma,_spmb,_spmc,_spmd
JuMain,JUTabBarController,[JuMainActivity|TabMainActivity|HomeTabActivity|HomeTabActivity.BoxPageFragment],聚划算-首页,,a2141,7718928,0,0
JuJRT,JHSHomeViewController,,聚划算-今日团,,a2141,7718928,0,0
JuSHT,JHSLocalWebViewController,,聚划算-生活团,,a2141,7718929,0,0
JuSHTCityChoose,JUCityPickerViewController,SelectCityActivity,聚划算-生活团城市选择,,a2141,7718930,0,0
JuSHTCategoryChoose,JHSLocalListViewController,LifeActivity,聚划算-生活团类目选择,,a2141,7718931,0,0
JuH5,JHSTabbarWebViewController,[JuWindVaneActivity|JuWebViewActivity],聚划算-h5,,a2141,7718932,0,0
JuJT,JUTouViewController,JuTouActivity,聚划算-聚透,,a2141,7718933,0,0
JuSearch,JUSearchDisplayController,SearchActivity,聚划算-搜索,,a2141,7718934,0,0
JuCollection,JHSCollectionViewController,JuShouCangActivity,聚划算-聚收藏,,a2141,7718935,0,0
JuPPT,JHSLuaViewController,,聚划算-品牌团,,a2141,7875816,0,0
