_key,_iOSkey,_AndroidKey,_页面,_说明,_spma,_spmb,_spmc,_spmd
JuMain,JUTabBarController,[JuMainActivity|TabMainActivity|HomeTabActivity|HomeTabActivity.BoxPageFragment],聚划算-首页,,a1z60,7725904,0,0
JuJRT,JHSHomeViewController,,聚划算-今日团,,a1z60,7725904,0,0
JuSHT,JHSLocalWebViewController,,聚划算-生活团,,a1z60,7725905,0,0
JuSHTCityChoose,JUCityPickerViewController,SelectCityActivity,聚划算-生活团城市选择,,a1z60,7725906,0,0
JuSHTCategoryChoose,JHSLocalListViewController,LifeActivity,聚划算-生活团类目选择,,a1z60,7725907,0,0
JuH5,JHSTabbarWebViewController,[JuWindVaneActivity|JuWebViewActivity],聚划算-h5,,a1z60,7725908,0,0
JuJT,JUTouViewController,JuTouActivity,聚划算-聚透,,a1z60,7725909,0,0
JuSearch,JUSearchDisplayController,SearchActivity,聚划算-搜索,,a1z60,7725910,0,0
JuCollection,JHSCollectionViewController,JuShouCangActivity,聚划算-聚收藏,,a1z60,7725911,0,0
JuPPT,JHSLuaViewController,,聚划算-品牌团,,a1z60,7875819,0,0
